Timestamp,date,time,Longitude,Latitude,Operatorname,NetworkTech,NetworkMode,RSRP,RSRQ,SNR,DL_bitrate,UL_bitrate,Eid,experiment
2024.12.10_07.58.11,2024-12-10,07:58:11,-90.168155,29.956869,X,5G,5G NSA,-100,-12,7.0,78,28,10id,1
2024.12.10_07.58.12,2024-12-10,07:58:12,-90.168155,29.956869,X,5G,5G NSA,-100,-12,7.0,3,6,10id,1
2024.12.10_07.58.13,2024-12-10,07:58:13,-90.168155,29.956869,X,5G,5G NSA,-100,-12,7.0,39546,261,10id,1
2024.12.10_07.58.14,2024-12-10,07:58:14,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,3,5,10id,1
2024.12.10_07.58.15,2024-12-10,07:58:15,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,3,5,10id,1
2024.12.10_07.58.16,2024-12-10,07:58:16,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,3,5,10id,1
2024.12.10_07.58.17,2024-12-10,07:58:17,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,39531,256,10id,1
2024.12.10_07.58.18,2024-12-10,07:58:18,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,4,6,10id,1
2024.12.10_07.58.19,2024-12-10,07:58:19,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,3,5,10id,1
2024.12.10_07.58.20,2024-12-10,07:58:20,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,23136,181,10id,1
2024.12.10_07.58.21,2024-12-10,07:58:21,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,3,12,10id,1
2024.12.10_07.58.22,2024-12-10,07:58:22,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,6,6,10id,1
2024.12.10_07.58.23,2024-12-10,07:58:23,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,29648,211,10id,1
2024.12.10_07.58.24,2024-12-10,07:58:24,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,6395,56,10id,1
2024.12.10_07.58.25,2024-12-10,07:58:25,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,3,5,10id,1
2024.12.10_07.58.26,2024-12-10,07:58:26,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,6,6,10id,1
2024.12.10_07.58.27,2024-12-10,07:58:27,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,10837,80,10id,1
2024.12.10_07.58.28,2024-12-10,07:58:28,-90.168155,29.956869,X,5G,5G NSA,-103,-13,7.0,30892,219,10id,1
