Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,DL_bitrate,Operatorname,SourceFile
2025.01.18_17.39.13,-90.168404,29.956815,5G,5G NSA,-100,-12,10.0,7,X,18ma
2025.01.18_17.39.14,-90.168404,29.956815,5G,5G NSA,-105,-12,5.0,40,X,18ma
2025.01.18_17.39.15,-90.168404,29.956815,5G,5G NSA,-105,-12,5.0,47,X,18ma
2025.01.18_17.39.15,-90.168331,29.956688,5G,5G NSA,-105,-12,5.0,47,X,18ma
2025.01.18_17.39.16,-90.168331,29.956688,5G,5G NSA,-105,-12,5.0,41332,X,18ma
2025.01.18_17.39.17,-90.168331,29.956688,5G,5G NSA,-105,-12,5.0,169,X,18ma
2025.01.18_17.39.17,-90.168243,29.956558,5G,5G NSA,-105,-12,5.0,169,X,18ma
2025.01.18_17.39.18,-90.168243,29.956558,5G,5G NSA,-105,-12,5.0,138,X,18ma
2025.01.18_17.39.19,-90.168243,29.956558,5G,5G NSA,-105,-12,5.0,114,X,18ma
2025.01.18_17.39.19,-90.168156,29.956426,5G,5G NSA,-105,-12,5.0,114,X,18ma
2025.01.18_17.39.20,-90.168156,29.956426,5G,5G NSA,-105,-12,5.0,35851,X,18ma
2025.01.18_17.39.21,-90.168156,29.956426,5G,5G NSA,-105,-12,5.0,424,X,18ma
2025.01.18_17.39.21,-90.168059,29.956292,5G,5G NSA,-105,-12,5.0,424,X,18ma
2025.01.18_17.39.22,-90.168059,29.956292,5G,5G NSA,-105,-12,5.0,149,X,18ma
2025.01.18_17.39.23,-90.168059,29.956292,5G,5G NSA,-105,-12,5.0,229,X,18ma
2025.01.18_17.39.23,-90.167959,29.956149,5G,5G NSA,-105,-12,5.0,229,X,18ma
2025.01.18_17.39.24,-90.167959,29.956149,5G,5G NSA,-105,-12,5.0,7276,X,18ma
2025.01.18_17.39.25,-90.167959,29.956149,5G,5G NSA,-105,-12,5.0,29045,X,18ma
2025.01.18_17.39.25,-90.167867,29.956006,5G,5G NSA,-105,-12,5.0,29045,X,18ma
2025.01.18_17.39.26,-90.167867,29.956006,5G,5G NSA,-105,-12,5.0,3,X,18ma
2025.01.18_17.39.27,-90.167867,29.956006,5G,5G NSA,-105,-12,5.0,7,X,18ma
2025.01.18_17.39.27,-90.167784,29.955863,5G,5G NSA,-105,-12,5.0,7,X,18ma
2025.01.18_17.39.28,-90.167784,29.955863,5G,5G NSA,-103,-12,7.0,4,X,18ma
2025.01.18_17.39.28,-90.167733,29.955781,5G,5G NSA,-103,-12,7.0,4,X,18ma
2025.01.18_17.39.29,-90.167733,29.955781,5G,5G NSA,-103,-12,7.0,36146,X,18ma
2025.01.18_17.39.30,-90.167733,29.955781,5G,5G NSA,-103,-12,7.0,3,X,18ma
2025.01.18_17.39.30,-90.167635,29.955628,5G,5G NSA,-103,-12,7.0,3,X,18ma
2025.01.18_17.39.31,-90.167635,29.955628,5G,5G NSA,-103,-12,7.0,16,X,18ma
2025.01.18_17.39.31,-90.167581,29.95555,5G,5G NSA,-103,-12,7.0,16,X,18ma
2025.01.18_17.39.32,-90.167581,29.95555,5G,5G NSA,-103,-12,7.0,41323,X,18ma
2025.01.18_17.39.33,-90.167581,29.95555,5G,5G NSA,-103,-12,7.0,7,X,18ma
2025.01.18_17.39.33,-90.16749,29.955415,5G,5G NSA,-103,-12,7.0,7,X,18ma
2025.01.18_17.39.34,-90.16749,29.955415,5G,5G NSA,-103,-12,7.0,4,X,18ma
2025.01.18_17.39.35,-90.16749,29.955415,5G,5G NSA,-97,-13,8.0,45,X,18ma
2025.01.18_17.39.35,-90.167413,29.955311,5G,5G NSA,-97,-13,8.0,45,X,18ma
2025.01.18_17.39.36,-90.167413,29.955311,5G,5G NSA,-97,-13,8.0,36089,X,18ma
2025.01.18_17.39.37,-90.167413,29.955311,5G,5G NSA,-97,-13,8.0,39,X,18ma
2025.01.18_17.39.37,-90.167341,29.955203,5G,5G NSA,-97,-13,8.0,39,X,18ma
2025.01.18_17.39.38,-90.167341,29.955203,5G,5G NSA,-97,-13,8.0,313,X,18ma
2025.01.18_17.39.39,-90.167341,29.955203,5G,5G NSA,-97,-13,8.0,25341,X,18ma
2025.01.18_17.39.39,-90.167277,29.955108,5G,5G NSA,-97,-13,8.0,25341,X,18ma
2025.01.18_17.39.40,-90.167277,29.955108,5G,5G NSA,-97,-13,8.0,13178,X,18ma
2025.01.18_17.39.41,-90.167277,29.955108,5G,5G NSA,-99,-14,3.0,4,X,18ma
2025.01.18_17.39.41,-90.167197,29.954977,5G,5G NSA,-99,-14,3.0,4,X,18ma
2025.01.18_17.39.42,-90.167197,29.954977,5G,5G NSA,-99,-14,3.0,50,X,18ma
2025.01.18_17.39.43,-90.167197,29.954977,5G,5G NSA,-99,-14,3.0,11659,X,18ma
2025.01.18_17.39.43,-90.167112,29.954844,5G,5G NSA,-99,-14,3.0,11659,X,18ma
2025.01.18_17.39.44,-90.167112,29.954844,5G,5G NSA,-99,-14,3.0,32800,X,18ma
2025.01.18_17.39.45,-90.167112,29.954844,5G,5G NSA,-99,-14,3.0,53,X,18ma
2025.01.18_17.39.45,-90.16702,29.954711,5G,5G NSA,-99,-14,3.0,53,X,18ma
2025.01.18_17.39.46,-90.16702,29.954711,5G,5G NSA,-99,-14,3.0,36,X,18ma
2025.01.18_17.39.47,-90.16702,29.954711,5G,5G NSA,-99,-14,3.0,40240,X,18ma
2025.01.18_17.39.47,-90.166941,29.954598,5G,5G NSA,-99,-14,3.0,40240,X,18ma
2025.01.18_17.39.48,-90.166941,29.954598,5G,5G NSA,-99,-14,3.0,4945,X,18ma
2025.01.18_17.39.49,-90.166941,29.954598,5G,5G NSA,-99,-14,3.0,127,X,18ma
2025.01.18_17.39.49,-90.166878,29.954508,5G,5G NSA,-99,-14,3.0,127,X,18ma
2025.01.18_17.39.50,-90.166878,29.954508,5G,5G NSA,-105,-15,1.0,18,X,18ma
2025.01.18_17.39.51,-90.166878,29.954508,5G,5G NSA,-105,-15,1.0,3,X,18ma
2025.01.18_17.39.51,-90.166814,29.954418,5G,5G NSA,-105,-15,1.0,3,X,18ma
2025.01.18_17.39.52,-90.166814,29.954418,5G,5G NSA,-105,-15,1.0,36031,X,18ma
2025.01.18_17.39.53,-90.166814,29.954418,5G,5G NSA,-105,-15,1.0,160,X,18ma
2025.01.18_17.39.53,-90.166757,29.954342,5G,5G NSA,-105,-15,1.0,160,X,18ma
2025.01.18_17.39.54,-90.166757,29.954342,5G,5G NSA,-106,-15,0.0,163,X,18ma
2025.01.18_17.39.55,-90.166757,29.954342,5G,5G NSA,-106,-15,0.0,36078,X,18ma
2025.01.18_17.39.56,-90.166757,29.954342,5G,5G NSA,-106,-15,0.0,793,X,18ma
2025.01.18_17.39.56,-90.166697,29.954246,5G,5G NSA,-106,-15,0.0,793,X,18ma
2025.01.18_17.39.57,-90.166697,29.954246,5G,5G NSA,-106,-15,0.0,49,X,18ma
2025.01.18_17.39.58,-90.166697,29.954246,5G,5G NSA,-106,-15,0.0,3,X,18ma
2025.01.18_17.39.59,-90.166697,29.954246,5G,5G NSA,-96,-12,11.0,14719,X,18ma
2025.01.18_17.40.00,-90.166697,29.954246,5G,5G NSA,-96,-12,11.0,21355,X,18ma
